Application ID,Barangay,Agency,Budget Utilization,Turnaround Days,Date Filed
APP1072,Poblacion,Health Office,0.77,9,2024-03-05
APP1073,San Isidro,Engineering Office,0.78,10,2024-04-05
APP1074,Santo Nino,Social Welfare,0.79,11,2024-05-05
APP1075,Bagong Silang,Treasury,0.8,12,2024-06-05
APP1076,Poblacion,Health Office,0.81,13,2024-07-05
APP1077,San Isidro,Engineering Office,0.82,3,2024-08-05
APP1078,Santo Nino,Social Welfare,0.83,4,2024-09-05
APP1079,Bagong Silang,Treasury,0.84,5,2024-10-05
APP1080,Poblacion,Health Office,0.85,6,2024-01-05
APP1081,San Isidro,Engineering Office,0.86,7,2024-02-05
APP1082,Santo Nino,Social Welfare,0.87,8,2024-03-05
APP1083,Bagong Silang,Treasury,0.88,9,2024-04-05
APP1084,Poblacion,Health Office,0.89,10,2024-05-05
APP1085,San Isidro,Engineering Office,0.9,11,2024-06-05
APP1086,Santo Nino,Social Welfare,0.91,12,2024-07-05
APP1087,Bagong Silang,Treasury,0.92,13,2024-08-05
APP1088,Poblacion,Health Office,0.93,3,2024-09-05
APP1089,San Isidro,Engineering Office,0.94,4,2024-10-05
APP1090,Santo Nino,Social Welfare,0.65,5,2024-01-05
