Student ID,School,Course,GPA,Attendance Rate,Enrollment Date
S1081,Lakeview Academy,Biology,2.1,0.89,2024-02-15
S1082,Riverdale School,World History,2.2,0.9,2024-03-15
S1083,Eastview Academy,English Lit,2.3,0.91,2024-04-15
S1084,Northside High,Chemistry,2.4,0.92,2024-05-15
S1085,Lakeview Academy,Algebra I,2.5,0.93,2024-06-15
S1086,Riverdale School,Biology,2.6,0.94,2024-07-15
S1087,Eastview Academy,World History,2.7,0.95,2024-08-15
S1088,Northside High,English Lit,2.8,0.96,2024-09-15
S1089,Lakeview Academy,Chemistry,2.9,0.97,2024-10-15
S1090,Riverdale School,Algebra I,3.0,0.8,2024-01-15
