respondent_id,age_group,gender,satisfaction,recommend_score,department
R0187,25-34,Prefer not to say,Satisfied,7,Engineering
R0188,25-34,Female,Satisfied,7,Support
R0189,45-54,Prefer not to say,Satisfied,9,HR
R0190,55+,Male,Neutral,6,Support
R0191,35-44,Male,Dissatisfied,2,HR
R0192,18-24,Male,Satisfied,7,Engineering
R0193,18-24,Male,Very satisfied,10,Sales
R0194,55+,Prefer not to say,Neutral,6,HR
R0195,25-34,Prefer not to say,Satisfied,8,Support
R0196,18-24,Male,Dissatisfied,3,Finance
R0197,55+,Male,Satisfied,8,HR
R0198,18-24,Prefer not to say,Very satisfied,10,HR
R0199,35-44,Male,Very dissatisfied,1,Support
R0200,18-24,Female,Satisfied,8,Support
R0201,45-54,Female,Very satisfied,9,HR
R0202,25-34,Female,Dissatisfied,3,Sales
R0203,35-44,Prefer not to say,Very satisfied,10,HR
R0204,45-54,Prefer not to say,Neutral,5,Finance
R0205,18-24,Prefer not to say,Dissatisfied,2,Finance
R0206,18-24,Male,Dissatisfied,2,HR
R0207,55+,Prefer not to say,Satisfied,8,Engineering
R0208,35-44,Prefer not to say,Very dissatisfied,1,Engineering
R0209,18-24,Male,Neutral,4,Support
R0210,55+,Prefer not to say,Satisfied,8,Finance
R0211,18-24,Male,Satisfied,7,Support
R0212,55+,Male,Satisfied,8,Finance
R0213,45-54,Female,Dissatisfied,3,HR
R0214,55+,Prefer not to say,Very dissatisfied,1,Engineering
R0215,35-44,Male,Dissatisfied,4,Engineering
R0216,45-54,Female,Neutral,6,Engineering
R0217,25-34,Female,Satisfied,8,HR
R0218,18-24,Female,Very dissatisfied,2,Support
R0219,55+,Female,Satisfied,7,Engineering
R0220,18-24,Male,Very satisfied,10,Engineering
R0221,18-24,Female,Satisfied,7,Support
R0222,25-34,Female,Neutral,6,Finance
R0223,55+,Male,Neutral,5,Support
R0224,55+,Male,Very satisfied,10,Finance
R0225,18-24,Female,Satisfied,9,Engineering
R0226,25-34,Female,Satisfied,8,HR
R0227,35-44,Female,Very dissatisfied,0,Sales
R0228,35-44,Prefer not to say,Very satisfied,10,HR
R0229,35-44,Male,Neutral,4,Engineering
R0230,45-54,Female,Neutral,6,Finance
R0231,25-34,Prefer not to say,Satisfied,7,Sales
R0232,25-34,Male,Neutral,6,Finance
R0233,25-34,Male,Satisfied,8,Support
R0234,45-54,Female,Dissatisfied,4,HR
R0235,55+,Female,Dissatisfied,3,Sales
R0236,55+,Female,Very satisfied,9,Support
R0237,35-44,Female,Dissatisfied,4,Finance
R0238,55+,Prefer not to say,Satisfied,7,Engineering
R0239,25-34,Female,Very satisfied,10,Support
R0240,18-24,Prefer not to say,Satisfied,7,Engineering
R0241,18-24,Female,Satisfied,8,Finance
R0242,55+,Female,Very satisfied,10,Engineering
R0243,55+,Male,Very satisfied,10,Finance
R0244,45-54,Female,Neutral,6,Engineering
R0245,18-24,Male,Neutral,5,HR
R0246,25-34,Male,Neutral,6,Engineering
R0247,18-24,Male,Satisfied,7,Finance
R0248,45-54,Prefer not to say,Neutral,4,Engineering
R0249,18-24,Male,Very satisfied,9,Finance
R0250,45-54,Prefer not to say,Neutral,6,HR
R0251,25-34,Female,Dissatisfied,4,HR
R0252,25-34,Male,Very dissatisfied,1,Sales
R0253,35-44,Prefer not to say,Very satisfied,10,Sales
R0254,45-54,Prefer not to say,Satisfied,7,Finance
R0255,35-44,Male,Neutral,5,HR
R0256,25-34,Female,Neutral,6,HR
R0257,25-34,Male,Satisfied,8,Support
R0258,25-34,Male,Satisfied,7,Sales
R0259,55+,Prefer not to say,Very satisfied,9,HR
R0260,55+,Male,Dissatisfied,2,Sales
R0261,45-54,Male,Neutral,6,Finance
R0262,45-54,Male,Very dissatisfied,0,HR
R0263,35-44,Female,Dissatisfied,3,HR
R0264,35-44,Female,Dissatisfied,3,Finance
R0265,25-34,Male,Neutral,6,Finance
R0266,18-24,Prefer not to say,Satisfied,7,Engineering
R0267,18-24,Prefer not to say,Satisfied,7,Support
R0268,18-24,Prefer not to say,Very dissatisfied,2,Support
R0269,35-44,Prefer not to say,Dissatisfied,4,Finance
R0270,55+,Male,Satisfied,8,Engineering
R0271,55+,Male,Neutral,4,Sales
R0272,35-44,Prefer not to say,Satisfied,7,Finance
R0273,18-24,Female,Very satisfied,10,Sales
R0274,25-34,Female,Very dissatisfied,1,Engineering
R0275,55+,Female,Satisfied,7,Sales
R0276,45-54,Prefer not to say,Satisfied,7,Sales
R0277,35-44,Male,Neutral,6,Sales
R0278,55+,Female,Neutral,5,Finance
R0279,25-34,Male,Neutral,5,Engineering
R0280,18-24,Female,Dissatisfied,3,Engineering
R0281,55+,Female,Very dissatisfied,2,Finance
R0282,55+,Prefer not to say,Satisfied,8,Engineering
R0283,35-44,Female,Very satisfied,9,Engineering
R0284,25-34,Female,Dissatisfied,4,Engineering
R0285,35-44,Female,Very satisfied,10,Support
R0286,25-34,Male,Dissatisfied,4,HR
R0287,18-24,Female,Satisfied,8,HR
R0288,18-24,Male,Satisfied,7,Sales
R0289,18-24,Prefer not to say,Very satisfied,10,Finance
R0290,18-24,Prefer not to say,Neutral,5,Finance
R0291,18-24,Female,Very satisfied,10,Support
R0292,18-24,Male,Neutral,6,Sales
R0293,18-24,Female,Dissatisfied,3,HR
R0294,45-54,Female,Satisfied,8,Engineering
R0295,45-54,Prefer not to say,Neutral,4,Finance
R0296,18-24,Female,Neutral,6,Finance
R0297,45-54,Male,Dissatisfied,4,Sales
R0298,45-54,Prefer not to say,Very satisfied,10,HR
R0299,45-54,Male,Neutral,5,Engineering
R0300,35-44,Female,Neutral,5,Finance
R0301,35-44,Prefer not to say,Dissatisfied,4,Support
R0302,45-54,Male,Dissatisfied,2,Sales
R0303,35-44,Female,Neutral,6,Finance
R0304,45-54,Female,Dissatisfied,3,HR
R0305,18-24,Male,Very dissatisfied,1,HR
R0306,25-34,Prefer not to say,Very satisfied,10,HR
R0307,18-24,Male,Very satisfied,10,HR
R0308,18-24,Prefer not to say,Very satisfied,10,Sales
R0309,45-54,Male,Dissatisfied,3,Engineering
R0310,18-24,Prefer not to say,Neutral,5,Finance
R0311,18-24,Prefer not to say,Dissatisfied,4,Finance
R0312,35-44,Female,Very satisfied,10,Sales
R0313,35-44,Female,Neutral,6,HR
R0314,55+,Prefer not to say,Very satisfied,9,Finance
R0315,55+,Male,Neutral,5,HR
R0316,35-44,Male,Neutral,5,Finance
R0317,45-54,Prefer not to say,Neutral,6,HR
R0318,18-24,Female,Neutral,5,Sales
R0319,25-34,Prefer not to say,Satisfied,7,HR
R0320,35-44,Female,Neutral,5,Sales
R0321,55+,Male,Neutral,5,Engineering
R0322,55+,Male,Dissatisfied,3,Finance
R0323,35-44,Prefer not to say,Neutral,6,Sales
R0324,25-34,Prefer not to say,Neutral,5,Support
R0325,35-44,Prefer not to say,Neutral,6,Finance
R0326,25-34,Female,Very satisfied,9,Finance
R0327,45-54,Female,Neutral,5,Finance
R0328,55+,Prefer not to say,Very satisfied,10,HR
R0329,25-34,Female,Very satisfied,9,Sales
R0330,35-44,Male,Satisfied,8,Finance
R0331,18-24,Female,Very satisfied,10,Finance
R0332,45-54,Female,Very satisfied,10,Support
R0333,35-44,Female,Very satisfied,10,Finance
R0334,55+,Male,Very satisfied,9,Engineering
R0335,25-34,Female,Neutral,6,Engineering
R0336,18-24,Male,Very satisfied,10,HR
R0337,25-34,Female,Satisfied,8,Finance
R0338,18-24,Male,Neutral,6,HR
R0339,45-54,Female,Very dissatisfied,1,HR
R0340,35-44,Male,Very satisfied,10,Engineering
R0341,35-44,Male,Dissatisfied,2,Sales
R0342,25-34,Male,Very dissatisfied,0,HR
R0343,45-54,Prefer not to say,Dissatisfied,3,HR
R0344,25-34,Male,Neutral,6,Engineering
R0345,18-24,Male,Dissatisfied,4,HR
R0346,55+,Male,Neutral,6,Finance
R0347,25-34,Female,Very dissatisfied,2,Engineering
R0348,45-54,Prefer not to say,Neutral,6,Sales
R0349,55+,Prefer not to say,Satisfied,8,Support
R0350,18-24,Female,Satisfied,7,HR
R0351,18-24,Prefer not to say,Neutral,6,Finance
R0352,45-54,Female,Very satisfied,10,Support
R0353,55+,Prefer not to say,Satisfied,8,Engineering
R0354,25-34,Prefer not to say,Dissatisfied,2,Engineering
R0355,55+,Male,Neutral,5,Engineering
R0356,25-34,Female,Neutral,6,Finance
R0357,45-54,Prefer not to say,Dissatisfied,3,Finance
R0358,35-44,Female,Very satisfied,10,Sales
R0359,35-44,Prefer not to say,Satisfied,7,Engineering
R0360,35-44,Male,Very dissatisfied,0,HR
R0361,35-44,Prefer not to say,Neutral,5,HR
R0362,18-24,Prefer not to say,Very satisfied,10,Support
R0363,35-44,Male,Satisfied,8,Finance
R0364,55+,Female,Very satisfied,10,HR
R0365,45-54,Prefer not to say,Very satisfied,10,HR
R0366,35-44,Female,Neutral,5,Support
R0367,45-54,Male,Very satisfied,10,Finance
R0368,55+,Prefer not to say,Very dissatisfied,1,Finance
R0369,55+,Prefer not to say,Dissatisfied,3,HR
R0370,55+,Prefer not to say,Satisfied,7,Engineering
R0371,45-54,Prefer not to say,Neutral,6,Sales
R0372,18-24,Female,Neutral,6,Engineering
R0373,35-44,Prefer not to say,Dissatisfied,3,HR
R0374,35-44,Prefer not to say,Very dissatisfied,1,Finance
R0375,18-24,Female,Neutral,6,Sales
R0376,25-34,Female,Neutral,6,Engineering
R0377,18-24,Prefer not to say,Satisfied,7,Support
R0378,45-54,Female,Neutral,5,Sales
R0379,45-54,Male,Dissatisfied,3,Finance
R0380,55+,Female,Neutral,5,HR
R0381,55+,Male,Neutral,5,Engineering
R0382,45-54,Female,Very satisfied,10,Finance
R0383,35-44,Male,Neutral,6,Support
R0384,55+,Male,Dissatisfied,2,Sales
R0385,18-24,Female,Neutral,5,Engineering
R0386,55+,Female,Satisfied,8,Sales
R0387,18-24,Female,Satisfied,8,Sales
R0388,35-44,Male,Neutral,5,Sales
R0389,45-54,Prefer not to say,Very satisfied,10,Finance
R0390,55+,Male,Dissatisfied,2,Finance
R0391,25-34,Male,Very satisfied,10,Sales
R0392,18-24,Prefer not to say,Neutral,5,Engineering
R0393,55+,Prefer not to say,Satisfied,8,HR
R0394,18-24,Female,Very satisfied,10,Support
R0395,25-34,Female,Neutral,5,Finance
R0396,55+,Prefer not to say,Dissatisfied,3,Sales
R0397,18-24,Male,Dissatisfied,4,HR
R0398,45-54,Prefer not to say,Very satisfied,10,Engineering
R0399,55+,Female,Neutral,6,Finance
R0400,35-44,Male,Neutral,6,Engineering
